#,序号,卷包实际得分,重量平均值,长度平均值,圆周平均值,吸阻平均值,硬度平均值,重量设计值,重量允差,长度设计值,长度允差,圆周设计值,圆周允差,吸阻设计值,吸阻允差,硬度设计值,硬度允差,盒标焦油量(mg),盒标烟气烟碱量(mg),盒标一氧化碳量(mg),平均质量(g),平均吸阻(pa),抽吸口数(口／支),总粒相物(mg),实测水分(mg),实测烟气烟碱量(mg),实测焦油量(mg),焦油量得分,烟气烟碱量得分,实测一氧化碳量(mg),一氧化碳量得分,烟气判定,端部落丝量,端部落丝量判定,含水率,含水率判定,含末率,含末率判定,制丝批次号,批次号,累计批次,主秤后填充值 cm3/g,含水率%,填充值cm3/g,长丝g,中丝g,短丝g,碎丝g,总重,整丝率%,碎丝率%,加香线,水分仪水分
100,100,99.8,0.851,83.9,24.2,1158,69.55,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.839,1135,6,13.12,1.92,0.94,10.3,80,100,10.5,80,合格,6.1,合格,12.3,合格,1.72,合格,BJ231222-LLQXB-02A,BJ231222-LLQXB-02A,48,5.22,12.12,5.82,582.8,222.1,181.3,13.8,1000,80.49%,1.38%,2线,12.15
101,101,99.6,0.853,83.99,24.22,1154,68.97,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.855,1145,6.1,13.26,1.93,0.92,10.4,80,100,10.9,80,合格,5,合格,12.3,合格,1.8,合格,BJ231222-LLQXB-04A,BJ231222-LLQXB-04A,50,5.18,11.81,5.57,609.5,222.2,199.5,15,1046.2,79.50%,1.43%,2线,11.95
102,102,99,0.85,83.99,24.2,1153,70.92,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.85,1158,6.1,12.76,1.6,0.93,10.2,80,100,10.3,80,合格,5.9,合格,11.8,合格,1.96,合格,BJ231226-LLQXB-01A,BJ231226-LLQXB-01A,52,5.19,11.86,5.62,512.9,188.6,168.7,11.9,882.1,79.53%,1.35%,2线,11.87
103,103,99.8,0.852,83.82,24.2,1162,70.39,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.847,1160,6,13.25,2.15,0.89,10.2,80,100,10.5,80,合格,3.9,合格,11.86,合格,1.35,合格,BJ231227-LLQXB-01A,BJ231227-LLQXB-01A,54,5.29,11.97,5.57,579.2,225.8,197.7,14.7,1017.4,79.12%,1.44%,2线,12.07
104,104,99.8,0.854,83.78,24.2,1185,71.64,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1185,6.2,13.44,1.92,0.94,10.6,80,100,10.7,80,合格,4.6,合格,11.83,合格,1.46,合格,BJ240101-LLQXB-01A,BJ240101-LLQXB-01A,1,5.29,12.05,5.7,547.4,239.3,204,14,1004.7,78.30%,1.39%,2线,12.1
105,105,99.6,0.85,84,24.16,1179,69.83,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.85,1176,6,13.12,1.68,0.92,10.5,80,100,10.6,80,合格,4.7,合格,12.1,合格,1.75,合格,BJ240101-LLQXB-03A,BJ240101-LLQXB-03A,3,5.24,12.04,5.6,597.2,260.6,200.9,12.8,1071.5,80.06%,1.19%,2线,12.17
106,106,100,0.853,83.96,24.22,1171,70.09,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.855,1175,6.1,13.12,2.17,0.94,10,80,100,10.6,80,合格,5.6,合格,12.14,合格,1.61,合格,BJ240102-LLQXB-01A,BJ240102-LLQXB-01A,5,5.48,11.92,5.49,541.3,203.6,167.3,11.6,923.8,80.63%,1.26%,2线,12.05
107,107,100,0.847,83.91,24.24,1155,70.06,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.849,1145,6,13.29,1.96,0.94,10.4,80,100,10.5,80,合格,4.6,合格,11.86,合格,1.57,合格,BJ240102-LLQXB-03A,BJ240102-LLQXB-03A,7,5.37,11.96,5.58,465.4,221.3,171,12.2,869.9,78.94%,1.40%,2线,12.03
108,108,99.8,0.849,83.94,24.22,1176,69.7,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.851,1168,5.9,12.86,1.89,0.9,10.1,80,100,10.4,80,合格,5.5,合格,11.79,合格,1.25,合格,BJ240103-LLQXB-02A,BJ240103-LLQXB-02A,9,5.29,11.97,5.59,512.3,220.9,152.3,9.4,894.9,81.93%,1.05%,2线,12.09
109,109,99.6,0.847,83.95,24.23,1139,69.55,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.855,1170,6.1,13.42,2.02,0.94,10.5,80,100,10.7,80,合格,5.6,合格,11.7,合格,1.24,合格,BJ240104-LLQXB-01A,BJ240104-LLQXB-01A,10,5.34,11.87,5.59,601.4,181.7,135.7,5.3,924.1,84.74%,0.57%,1线,12.02
110,110,99.8,0.853,84.03,24.23,1158,69.05,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.846,1180,6,13.36,1.85,0.92,10.6,80,100,11,80,合格,4.8,合格,11.8,合格,1.34,合格,BJ240105-LLQXB-01A,BJ240105-LLQXB-01A,12,5.34,12.07,5.69,571.2,230.2,178.2,11.6,991.2,80.85%,1.17%,2线,12.21
111,111,99.8,0.856,84.06,24.24,1169,70.37,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.867,1160,6.1,12.94,1.82,0.91,10.2,80,100,10.5,80,合格,7.8,合格,11.84,合格,1.23,合格,BJ240105-LLQXB-03A,BJ240105-LLQXB-03A,14,5.15,12.02,5.39,601.6,223.3,171.6,8.7,1005.2,82.06%,0.87%,1线,12.17
112,112,99.8,0.855,84.05,24.24,1155,69.89,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.857,1148,6.2,12.8,1.87,0.9,10,80,100,10.1,80,合格,5,合格,11.69,合格,1.1,合格,BJ240108-LLQXB-02A,BJ240108-LLQXB-02A,17,5.52,11.81,5.5,572.1,183.1,123.4,4.9,883.5,85.48%,0.55%,1线,12.08
113,113,100,0.857,84.05,24.26,1174,70.47,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.865,1143,6.2,12.9,1.84,0.92,10.1,80,100,10.4,80,合格,6.3,合格,11.97,合格,1.14,合格,BJ240110-LLQXB-01A,BJ240110-LLQXB-01A,19,5.48,11.87,5.48,577.6,233.6,175.5,8.8,995.5,81.49%,0.88%,1线,12.07
114,114,99.8,0.862,84.02,24.24,1177,70.88,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.854,1160,6.1,13.32,1.86,0.92,10.5,80,100,10.6,80,合格,5.3,合格,11.78,合格,1.04,合格,BJ240110-LLQXB-03A,BJ240110-LLQXB-03A,21,5.33,11.92,5.59,627.9,218.6,164.8,8.2,1019.5,83.03%,0.80%,1线,12.05
115,115,100,0.848,84.04,24.24,1148,69.64,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1180,6.1,13.51,1.92,0.92,10.7,80,100,10.6,80,合格,4.7,合格,11.73,合格,1.55,合格,BJ240111-LLQXB-01A,BJ240111-LLQXB-01A,22,5.37,11.96,5.62,585.2,234.5,175.7,9,1004.4,81.61%,0.90%,1线,12.12
116,116,100,0.856,84.08,24.25,1165,69.83,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.847,1145,6,13.14,1.77,0.93,10.4,80,100,10.3,80,合格,4.6,合格,11.79,合格,1.23,合格,BJ240111-LLQXB-02A,BJ240111-LLQXB-02A,23,5.47,11.75,5.48,530.1,199.4,135,5.8,870.3,83.82%,0.67%,1线,11.98
117,117,99.6,0.843,83.99,24.22,1158,69.13,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1162,6.1,13.22,1.73,0.93,10.6,80,100,10.6,80,合格,4.8,合格,11.78,合格,1.64,合格,BJ240112-LLQXB-02A,BJ240112-LLQXB-02A,26,5.15,11.7,5.51,530.4,188.8,149.7,7.6,876.5,82.05%,0.87%,1线,11.87
118,118,99.8,0.848,84.05,24.25,1148,69.76,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.848,1158,6,13.14,1.89,0.9,10.4,80,100,10.4,80,合格,5.9,合格,11.79,合格,1.4,合格,BJ240112-LLQXB-05A,BJ240112-LLQXB-05A,29,5.36,11.92,5.55,554.3,181.9,141.4,7.2,884.8,83.21%,0.81%,1线,12.02
119,119,100,0.851,84.04,24.24,1176,70.04,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.851,1160,6,13.02,1.94,0.9,10.2,80,100,10.5,80,合格,5.1,合格,11.81,合格,1.56,合格,BJ240117-LLQXB-02A,BJ240117-LLQXB-02A,32,5.35,11.94,5.59,611.4,195.3,155.4,7.3,969.4,83.22%,0.75%,1线,12.01
120,120,99.5,0.849,83.93,24.22,1165,69.54,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.852,1160,6.1,13.24,1.84,0.91,10.5,80,100,10.4,80,合格,4.3,合格,12.02,合格,1.58,合格,BJ240117-LLQXB-05A,BJ240117-LLQXB-05A,35,5.2,12.1,5.61,723,198.8,146.4,5.9,1074.1,85.82%,0.55%,1线,11.95
121,121,99.6,0.851,83.99,24.23,1143,69.1,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1070,6.2,12.95,1.91,0.88,10.2,80,100,10.5,80,合格,5.4,合格,11.76,合格,1.62,合格,BJ240119-LLQXB-02A,BJ240119-LLQXB-02A,39,5.3,11.97,5.63,584.9,163.7,141.4,8.3,898.3,83.34%,0.92%,1线,11.93
122,122,99.5,0.854,84.05,24.22,1178,70.48,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.849,1162,6.1,13.28,2.02,0.88,10.4,80,100,10.4,80,合格,5.1,合格,12.13,合格,1.51,合格,BJ240119-LLQXB-05A,BJ240119-LLQXB-05A,42,5.43,12.12,5.54,615.3,228.2,173,9.4,1025.9,82.22%,0.92%,1线,11.99
123,123,100,0.853,84.03,24.24,1182,68.66,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1138,6.1,13.01,1.81,0.86,10.3,80,100,10.7,80,合格,5.3,合格,12.01,合格,1.6,合格,BJ240119-LLQXB-08A,BJ240119-LLQXB-08A,45,5.48,11.89,5.45,574.2,238.8,152.9,5.2,971.1,83.72%,0.54%,1线,11.9
124,124,100,0.851,83.97,24.24,1162,67.53,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.845,1150,6.2,13.69,2.15,0.94,10.6,80,100,10.7,80,合格,5.3,合格,11.99,合格,1.63,合格,BJ240123-LLQXB-02A,BJ240123-LLQXB-02A,48,5.34,11.96,5.5,466.7,207.3,154.2,8,836.2,80.60%,0.96%,1线,11.94
125,125,99.3,0.857,84.05,24.23,1188,69.77,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1158,6.2,13.62,1.95,0.92,10.8,80,100,10.8,80,合格,4.8,合格,11.8,合格,1.33,合格,BJ240124-LLQXB-02A,BJ240124-LLQXB-02A,50,5.45,12.07,5.43,581.2,209.8,152.6,6.1,949.7,83.29%,0.64%,1线,12.01
126,126,99.8,0.856,83.86,24.28,1181,67.12,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1150,6,13.51,1.92,0.92,10.67,80,100,10.5,100,合格,6.9,合格,11.83,合格,1.82,合格,BJ240315-LLQXB-02A,BJ240315-LLQXB-02A,2,5.47,11.73,5.7,509.7,230.1,172.3,13.6,925.7,79.92%,1.47%,2线,11.9
127,128,99.8,0.858,83.99,24.22,1168,67.19,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1152,6,13.61,2.26,0.96,10.39,80,100,10.7,100,合格,6.7,合格,11.78,合格,1.82,合格,BJ240315-LLQXB-07A,BJ240315-LLQXB-07A,7,5.68,11.97,5.69,592.3,257.3,202.6,15.4,1067.6,79.58%,1.44%,2线,11.97
128,130,100,0.85,84.06,24.23,1173,67.78,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.851,1176,6,13.45,2.05,0.92,10.48,80,100,10.9,100,合格,6.1,合格,11.81,合格,1.29,合格,BJ240318-LLQXB-04A,BJ240318-LLQXB-04A,11,5.4,11.96,5.5,530.9,215.7,168.9,11.6,927.1,80.53%,1.25%,2线,12.06
129,132,99.8,0.856,84.13,24.22,1182,68.51,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.854,1170,6.2,13.36,1.88,0.95,10.53,80,100,11,100,合格,4.4,合格,11.76,合格,1.38,合格,BJ240319-LLQXB-05A,BJ240319-LLQXB-05A,17,5.28,11.88,5.64,583.2,238.6,189.3,17.5,1028.6,79.90%,1.70%,2线,12.01
130,134,99.5,0.858,84.04,24.24,1181,69.15,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1172,6.2,13.34,1.77,0.96,10.61,80,100,10.9,100,合格,6.1,合格,11.88,合格,1.01,合格,BJ240320-LLQXB-04A,BJ240320-LLQXB-04A,22,5.3,11.7,5.64,575,242.9,175.1,11.5,1004.5,81.42%,1.14%,2线,12.02
131,136,99.3,0.85,84.02,24.24,1164,66.18,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.857,1176,6.2,13.28,2.18,0.95,10.15,80,100,10.3,100,合格,5.4,合格,11.8,合格,1.63,合格,BJ240321-LLQXB-04A,BJ240321-LLQXB-04A,28,5.36,11.82,5.58,607.3,266.6,190.5,13.6,1078,81.07%,1.26%,2线,11.93
132,138,100,0.852,84.08,24.2,1166,65.62,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.845,1186,6.1,13.18,2.18,0.88,10.12,80,100,10.7,100,合格,5.7,合格,11.82,合格,1.86,合格,BJ240322-LLQXB-02A,BJ240322-LLQXB-02A,30,5.31,11.66,5.73,591.5,271.8,163.8,8.9,1036,83.33%,0.86%,2线,11.96
133,140,99.8,0.849,84.11,24.22,1157,67.58,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.855,1150,6.2,12.78,1.87,0.88,10.03,80,100,10.1,100,合格,5.4,合格,11.7,合格,1.61,合格,BJ240322-LLQXB-07A,BJ240322-LLQXB-07A,35,5.33,11.76,5.53,616.3,240.5,179,10.7,1046.5,81.87%,1.02%,2线,11.97
134,141,99,0.851,83.98,24.26,1132,65.81,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.859,1132,6.1,12.82,2,0.9,9.92,80,100,10.2,100,合格,5.5,合格,11.73,合格,1.6,合格,BJ240325-LLQXB-01A,BJ240325-LLQXB-01A,41,5.29,11.76,5.56,527,246.5,186.1,13.2,972.8,79.51%,1.36%,2线,12.08
135,142,99.5,0.855,84.15,24.24,1172,69.29,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1172,6.3,13.19,1.84,0.91,10.44,80,100,10.6,100,合格,3.8,合格,11.88,合格,1.54,合格,BJ240326-LLQXB-03A,BJ240326-LLQXB-03A,45,5.35,11.88,5.6,574.5,250.8,189.4,13.4,1028.1,80.27%,1.30%,2线,12.1
136,143,99.5,0.847,84.04,24.21,1158,67.48,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.85,1143,6.1,12.9,1.83,0.89,10.18,80,100,10.6,100,合格,5.4,合格,11.84,合格,1.86,合格,BJ240331-LLQXB-01A,BJ240331-LLQXB-01A,1,5.11,11.83,5.57,629.1,227.9,152.4,4.5,1013.9,84.53%,0.44%,1线,12.33
137,144,99.5,0.866,84.04,24.25,1187,68.57,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.879,1168,6,13.08,1.87,0.91,10.3,80,100,10.6,100,合格,5.8,合格,11.92,合格,1.91,合格,BJ240331-LLQXB-06A,BJ240331-LLQXB-06A,6,5.11,11.76,5.64,602.5,215.7,160.9,7.9,987,82.90%,0.80%,1线,12.1
138,146,100,0.853,84.01,24.2,1176,68.47,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.856,1141,6.1,13.32,1.93,0.94,10.45,80,100,10.6,100,合格,2.6,合格,11.79,合格,1.56,合格,BJ240401-LLQXB-03A,BJ240401-LLQXB-03A,11,5.25,11.92,5.4,612.6,223.5,159.1,7.1,1002.3,83.42%,0.71%,1线,11.98
139,147,99.8,0.861,84.01,24.26,1159,68.57,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.858,1149,6.1,12.62,1.8,0.93,9.89,80,100,10,100,合格,5.8,合格,11.74,合格,1.04,合格,BJ240407-LLQXB-01A,BJ240407-LLQXB-01A,14,5.02,12.03,5.44,603.9,211,155,6.7,976.6,83.44%,0.69%,1线,12.21
140,148,99.8,0.856,84.01,24.2,1183,68.42,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.849,1202,6.1,12.87,1.81,0.9,10.16,80,100,10.2,100,合格,5.9,合格,11.82,合格,1.77,合格,BJ240407-LLQXB-06A,BJ240407-LLQXB-06A,19,5.31,11.96,5.57,603,221.9,164.1,8.1,997.1,82.73%,0.81%,1线,11.98
141,150,99.8,0.854,84.06,24.18,1170,67.27,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.852,1150,6,13.22,2.17,0.92,10.13,80,100,10.4,100,合格,5.4,合格,11.8,合格,1.19,合格,BJ240407-LLQXB-07A,BJ240407-LLQXB-07A,20,5.32,11.93,5.55,616,239.8,154.1,5.4,1015.3,84.29%,0.53%,1线,12.1
142,152,100,0.86,83.9,24.17,1154,66.07,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.851,1129,6.1,13.05,2.45,0.92,9.68,80,100,10.3,100,合格,5.2,合格,11.79,合格,1.49,合格,BJ240409-LLQXB-04A,BJ240409-LLQXB-04A,30,5.17,11.98,5.46,650.6,239.3,168,6.8,1064.7,83.58%,0.64%,1线,12.01
143,154,100,0.848,83.87,24.26,1139,65.35,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.85,1139,6.1,13.04,2.31,0.88,9.85,80,100,10.5,100,合格,4.2,合格,11.89,合格,1.07,合格,BJ240410-LLQXB-04A,BJ240410-LLQXB-04A,34,5.35,12,5.48,624.6,225.2,145.9,6.1,1001.8,84.83%,0.61%,1线,11.98
144,156,99.6,0.846,83.97,24.22,1104,62.49,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.861,1149,6.1,13.09,1.82,0.92,10.35,80,100,10.5,100,合格,6,合格,11.76,合格,1.66,合格,BJ240411-LLQXB-05A,BJ240411-LLQXB-05A,41,5.11,11.89,5.42,611.4,225.8,162.2,7.2,1006.6,83.17%,0.72%,1线,12.03
145,158,100,0.864,83.94,24.19,1171,64.95,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.852,1153,6.1,13.26,1.82,0.93,10.51,80,100,10.4,100,合格,6.1,合格,12.06,合格,2.02,合格,BJ240412-LLQXB-01A,BJ240412-LLQXB-01A,43,5.37,12.04,5.6,619.8,230.2,147.2,6.5,1003.7,84.69%,0.65%,1线,12.22
146,159,99.8,0.847,83.94,24.18,1127,67.59,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.854,1165,5.9,13.19,1.8,0.94,10.45,80,100,10.5,100,合格,6.6,合格,11.79,合格,1.47,合格,BJ240412-LLQXB-05A,BJ240412-LLQXB-05A,47,5.32,11.76,5.38,619.3,229.8,162,7.3,1018.4,83.38%,0.72%,1线,12.02
147,160,100,0.852,84.05,24.13,1153,66.82,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.848,1130,6,13.22,2,0.91,10.31,80,100,10.4,100,合格,3.96,合格,11.62,合格,1.17,合格,BJ240415-LLQXB-01A,BJ240415-LLQXB-01A,53,5.26,12.02,5.38,613.8,233.5,177.9,8.1,1033.3,82.00%,0.78%,1线,12.04
148,161,99.5,0.851,83.95,24.24,1109,67.52,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.846,1108,6.1,13.07,2.02,0.88,10.17,80,100,10,100,合格,5.6,合格,11.62,合格,1.19,合格,BJ240415-LLQXB-05A,BJ240415-LLQXB-05A,57,5.25,11.99,5.42,619,236.8,170,8.1,1033.9,82.77%,0.78%,1线,12.16
149,162,99.5,0.849,83.88,24.23,1135,66.05,0.855,0.07,84,0.5,24.2,0.2,1140,200,67,10,10,0.9,10,0.853,1110,6.1,13.23,1.84,0.92,10.47,80,100,10.3,100,合格,5.08,合格,11.73,合格,1.13,合格,BJ240416-LLQXB-03A,BJ240416-LLQXB-03A,60,5.23,11.99,5.4,621.7,223.7,151.2,5.5,1002.1,84.36%,0.55%,1线,12.28
