总氮,总烟碱,总糖,总还原糖,水份,PH值,氯,浓度,劲头
2.16,2.12,18.83,15.54,5.82,5.27,0.599,7,7.5
2.77,2.58,13.29,11.11,7.79,5.3,0.776,7,7.5
2.54,2.63,12.78,10.33,7.72,5.24,0.96,7,7.5
2.22,2.19,23.44,20.73,6.5,5.13,0.186,8.5,8
2.04,1.72,19.76,18.85,8.12,5.3,0.62,8,8
1.67,1.51,21.6,19.5,9.72,5.37,0.726,7.5,8
1.78,1.17,21.17,19.61,7.59,5.23,0.416,7,7.5
2.55,2.79,10.54,9.02,5.98,5.48,0.521,7.5,7
2.51,2.44,15.46,12.6,5.93,5.58,0.616,7,7.5
1.98,1.51,18.15,14.26,6.81,5.15,0.686,7.5,7
2.83,2.88,7.78,7.49,6.1,5.26,1.043,7,7
2.59,2.15,14.64,12.71,6.17,5.26,0.502,8,8.5
